parent_tweet,reply_tweet
"#4U9525 took eight minutes to descend from 38,000 feet to impact, says Germanwings CEO Winkelmann.","@FRANCE24 reporter James André at French Civil Aviation Authority HQ: ""#Germanwings plane did NOT report distress signal"", no mayday."
#BREAKING Charlie Hebdo gunmen's hostage freed and safe after police assault,"“@AFP: #BREAKING Charlie Hebdo gunmen's hostage freed and safe after police assault”

Yes French police👊"
"#BREAKING Hostages held inside Sydney cafe, Islamic flag held up","@AFP That's not the flag, just looks like it"
"#BREAKING Hostages held inside Sydney cafe, Islamic flag held up","NOT the ISIS flag RT “@AFP: #BREAKING Hostages held inside Sydney cafe, Islamic flag held up”"
#BREAKING: At least two people have died following the #SydneySiege. 5 people are being treated by paramedics.,@AusNewsNetwork @richellecox not confirmed
#CharlieHebdo shooting suspects tell police they 'prepared to die as martyrs' - French media http://t.co/G6eunBDIrj http://t.co/jOnfaapehF,@bradydan @BBCBreaking they would still be murderers I don't think anyone can consider this martyrdom
#CharlieHebdo shooting suspects tell police they 'prepared to die as martyrs' - French media http://t.co/G6eunBDIrj http://t.co/jOnfaapehF,@RT_com they will not die as martys - they will die as the dogs that they are. Only hellfire will await them.
"#CHARLIEHEBDO SHOOTING: Gunmen shouted 'we have avenged the prophet"" during attack - reports http://t.co/3Jsosc7yl3 http://t.co/nAerF1Ep7A",@RT_com they screamed Allahu Akbar just like those who scream Novorossiya
"#CHARLIEHEBDO SHOOTING: Gunmen shouted 'we have avenged the prophet"" during attack - reports http://t.co/3Jsosc7yl3 http://t.co/nAerF1Ep7A",@RT_com Ppl use #religion as excuse to do violent acts. US invading #Iraq shows how much violence is naturally born into humans. #science
#Ferguson chief let most of day go by b4 disclosing (after repeated Qs) that cop who killed #MikeBrown knew nothing about robbery. DANGER,"@LisaBloom Polluting potential jurors by any Chief of LEOs should be an intentional malice reprimand,+ the county DA may be his Advisor"
#Ferguson chief let most of day go by b4 disclosing (after repeated Qs) that cop who killed #MikeBrown knew nothing about robbery. DANGER,@LisaBloom but mike brown knew about the robbery and DIDN'T know the cop didn't know - that's what makes it POSSIBLY relevant
#Ferguson police: Officer involved in fatal shooting of Michael Brown didn't know he was suspect in alleged robbery. http://t.co/L6bieyrz2a,@rolandsmartin ok so that was mike in the convenience store?
