parent_tweet,reply_tweet
#4U9525 From FL380 to FL110 in 8 min? That's average rate of descent 3375 fpm! Than levelled off at FL068? What the hell was going on there?,@RAeSTimR @thatjohn Ahh.. I was always taught it was a UK only thing; and having done only limited flying abroad never tested that!
#4U9525 From FL380 to FL110 in 8 min? That's average rate of descent 3375 fpm! Than levelled off at FL068? What the hell was going on there?,@AirSmolik Only entered FL380 for a few mins prior too. So sad.
#4U9525 From FL380 to FL110 in 8 min? That's average rate of descent 3375 fpm! Than levelled off at FL068? What the hell was going on there?,"@AirSmolik but at a controlled speed (unless readings were out), which makes it even more bizarre. I hope they find the real answers soon"
#4U9525 From FL380 to FL110 in 8 min? That's average rate of descent 3375 fpm! Than levelled off at FL068? What the hell was going on there?,@AirSmolik descent rate is not that unusual.
#4U9525 From FL380 to FL110 in 8 min? That's average rate of descent 3375 fpm! Than levelled off at FL068? What the hell was going on there?,@AirSmolik pilots may have been suffering a Hypoxie
#4U9525 From FL380 to FL110 in 8 min? That's average rate of descent 3375 fpm! Than levelled off at FL068? What the hell was going on there?,@AirSmolik @abundare78 would point to a cabin depressurisation
#4U9525: Robin names Andreas Lubitz as the copilot in the flight deck who crashed the aircraft.,@thatjohn @mschenk
#Banksy's take on #CharlieHebdo. #JeSuisCharlie #NousSommesCharlie http://t.co/f6Y07d9fJ1,@juliamacfarlane http://t.co/zHekINcQjJ
#BREAKING - At least five hostages in Paris kosher supermarket: (AFP) https://t.co/4yt6nafpIg #Vincennes http://t.co/Vnyhqye2ps,Good Lord - this crisis in France is spreading.Prayers for the hostages.    @AFP @imsabbah
#BREAKING - At least five hostages in Paris kosher supermarket: (AFP) https://t.co/4yt6nafpIg #Vincennes http://t.co/Vnyhqye2ps,“@FRANCE24: #BREAKING - At least five hostages in Paris kosher supermarket: (AFP) https://t.co/xFn05puuBm #Vincennes http://t.co/WU3kmq957e”
#BREAKING - At least five hostages in Paris kosher supermarket: (AFP) https://t.co/4yt6nafpIg #Vincennes http://t.co/Vnyhqye2ps,@FRANCE24 @HarrietBaldwin It's time 4 West 2 make formal declaration of war vs Islamic Terrorists but is there country with courage 2 do so?
"#BREAKING : 1 dead, several injured in shootout North-East of Paris (French radio @RTLFrance ) http://t.co/LdSF5QeCiv #CharlieHebdo","@FRANCE24 @RTLFrance Islamic State praise Paris attackers as ""heroic jihadists"" http://t.co/n6yStruApO  via @Reuters"
"#BREAKING : 1 dead, several injured in shootout North-East of Paris (French radio @RTLFrance ) http://t.co/LdSF5QeCiv #CharlieHebdo",@FRANCE24 @RTLFrance France will only stop invading other countries&amp;arming &amp; funding of Terrorists if these Terrorists bring Chaos inFrance
"#BREAKING : 1 dead, several injured in shootout North-East of Paris (French radio @RTLFrance ) http://t.co/LdSF5QeCiv #CharlieHebdo",@FRANCE24 @RTLFrance US is the ultimate instigator of all Conflicts &amp; Chaos. US arms &amp; funds Terrorists in every Country
"#BREAKING : 1 dead, several injured in shootout North-East of Paris (French radio @RTLFrance ) http://t.co/LdSF5QeCiv #CharlieHebdo",@FRANCE24 @TenNewsSydney @RTLFrance - Bring back the Guillotine for dealing with terrorists.
#BREAKING : Both Charlie Hebdo suspects killed as police storm building (police sources) http://t.co/OYSXRQ9xuv http://t.co/8ICThapo7z,@France24_en good
#BREAKING : Both Charlie Hebdo suspects killed as police storm building (police sources) http://t.co/OYSXRQ9xuv http://t.co/8ICThapo7z,"@France24_en @Sonia_Dridi For the record this pic. is the other hostage site, the CharlieHebdo murderers were taken outside Paris: Dammartin"
#BREAKING : Both Charlie Hebdo suspects killed as police storm building (police sources) http://t.co/OYSXRQ9xuv http://t.co/8ICThapo7z,@France24_en @SkidWillie Great News!!! Take no prisoners. These bastards need to be exterminated on sight
#BREAKING : Both Charlie Hebdo suspects killed as police storm building (police sources) http://t.co/OYSXRQ9xuv http://t.co/8ICThapo7z,@France24_en http://t.co/MCLBmKWvXO
#BREAKING Charlie Hebdo gunmen's hostage freed and safe after police assault,"@Troy_Johnson @France24_en. Did they get those"" BOYS ""who lashed oUt against  the C.H. artist?"
#BREAKING Charlie Hebdo gunmen's hostage freed and safe after police assault,“@AFP: #BREAKING #CharlieHebdo gunmen's hostage freed and safe after police assault” Hoping this is accurate.
#BREAKING Charlie Hebdo gunmen's hostage freed and safe after police assault,@Callum_SR @mixormaster @AFP So happy for him. #ParisUnderAttack
#BREAKING Gunman in policewoman killing suspected in new Paris hostage-taking: source,@AFP 5 hostages (including women and childs)
#BREAKING Gunman in policewoman killing suspected in new Paris hostage-taking: source,#Vincennes #Montrouge RT “@AFP: #BREAKING Gunman in policewoman killing suspected in new Paris hostage-taking: source”
"#BREAKING Hostages held inside Sydney cafe, Islamic flag held up",@KEEMSTARx the SASR will sort em out
"#BREAKING Hostages held inside Sydney cafe, Islamic flag held up","Actually debate on the flag @AFP: #BREAKING Hostages held inside Sydney cafe, Islamic flag held up”"
"#BREAKING Hostages held inside Sydney cafe, Islamic flag held up","Thoughts with Sydney tonight. “@AFP: #BREAKING Hostages held inside Sydney cafe, Islamic flag held up”"
#BREAKING news: Shots fired at Parliament Hill. Follow developing story: http://t.co/gPg9nujRvk http://t.co/H0Hw24j5ma,@CBCNews @michellemalkin 2nd ISIS attack in Canada in two days
#BREAKING news: Shots fired at Parliament Hill. Follow developing story: http://t.co/gPg9nujRvk http://t.co/H0Hw24j5ma,@globeandmail
#BREAKING news: Shots fired at Parliament Hill. Follow developing story: http://t.co/gPg9nujRvk http://t.co/H0Hw24j5ma,“@globeandmail: #BREAKING news: Shots fired at Parliament Hill. http://t.co/Gtg62UeZ3b http://t.co/pOLTF1F0t1” @Tark31
#BREAKING news: Shots fired at Parliament Hill. Follow developing story: http://t.co/gPg9nujRvk http://t.co/H0Hw24j5ma,Yikes rt:@globeandmail : #BREAKING news: Shots fired at Parliament Hill. http://t.co/1wfX85AkBj http://t.co/52jzBjj1lA
#BREAKING news: Shots fired at Parliament Hill. Follow developing story: http://t.co/gPg9nujRvk http://t.co/H0Hw24j5ma,@globeandmail @JennReed4 ! be careful!
#BREAKING news: Shots fired at Parliament Hill. Follow developing story: http://t.co/gPg9nujRvk http://t.co/H0Hw24j5ma,@globeandmail @ggreenwald I'm taking bets on how quick #ISIS or #Syria will be blamed. After all #Syria is where the US want to bomb next.
#BREAKING news: Shots fired at Parliament Hill. Follow developing story: http://t.co/gPg9nujRvk http://t.co/H0Hw24j5ma,@globeandmail trying to but got this - shameful behaviour http://t.co/BsGTnvDyhc
#BREAKING news: Shots fired at Parliament Hill. Follow developing story: http://t.co/gPg9nujRvk http://t.co/H0Hw24j5ma,"Sending thoughts and prayers. ""@globeandmail: #BREAKING: Shots fired at Parliament Hill. http://t.co/hvTLvS7PF3 http://t.co/0qSanyC0vx”"
#BREAKING news: Shots fired at Parliament Hill. Follow developing story: http://t.co/gPg9nujRvk http://t.co/H0Hw24j5ma,#BreakingNews RT “@globeandmail: Shots fired at Parliament Hill. Follow developing story: http://t.co/odhUy8kXPZ http://t.co/pGcQ8KBZKm”
#BREAKING news: Shots fired at Parliament Hill. Follow developing story: http://t.co/gPg9nujRvk http://t.co/H0Hw24j5ma,“@globeandmail: #BREAKING news: Shots fired at Parliament Hill. Follow developing story: http://t.co/0xTrHyIlG6 http://t.co/1P0LA8mxfM”
#BREAKING news: Shots fired at Parliament Hill. Follow developing story: http://t.co/gPg9nujRvk http://t.co/H0Hw24j5ma,@globeandmail
#BREAKING news: Shots fired at Parliament Hill. Follow developing story: http://t.co/gPg9nujRvk http://t.co/H0Hw24j5ma,@globeandmail Stay safe police and soldiers protecting us all! @rcmpgrcpolice @OttawaPolice
#BREAKING news: Shots fired at Parliament Hill. Follow developing story: http://t.co/gPg9nujRvk http://t.co/H0Hw24j5ma,@globeandmail
#BREAKING news: Shots fired at Parliament Hill. Follow developing story: http://t.co/gPg9nujRvk http://t.co/H0Hw24j5ma,@globeandmail @ggreenwald looks like American values are heading north
#BREAKING news: Shots fired at Parliament Hill. Follow developing story: http://t.co/gPg9nujRvk http://t.co/H0Hw24j5ma,@globeandmail
#BREAKING news: Shots fired at Parliament Hill. Follow developing story: http://t.co/gPg9nujRvk http://t.co/H0Hw24j5ma,Canada: “@globeandmail: BREAKING: Shots fired at Parliament Hill. Follow developing story: http://t.co/lJrDWxgxQz http://t.co/zUEKo0sT5T”
#BREAKING Paris hostage-taker 'knows' one Charlie Hebdo killer: source,@mcgozzaman @Reuters BBC saying two dead in East Paris but at least five hostages still held in supermarket. Terrible.
