parent_tweet,reply_tweet
#4U9525 From FL380 to FL110 in 8 min? That's average rate of descent 3375 fpm! Than levelled off at FL068? What the hell was going on there?,"1047 call: DGAC source says pilots called «urgence, urgence» (“emergency, emergency”), as opposed to a mayday call or 7700 squawk. #4U9525"
#4U9525 From FL380 to FL110 in 8 min? That's average rate of descent 3375 fpm! Than levelled off at FL068? What the hell was going on there?,@AirSmolik Im thinking structurql failure - qnd then depressure etc cockpit window etc ? Trqgique
#4U9525 From FL380 to FL110 in 8 min? That's average rate of descent 3375 fpm! Than levelled off at FL068? What the hell was going on there?,@AirSmolik And apperently no turn to avoid terrain. Straight ahead into the mountains.
#4U9525 From FL380 to FL110 in 8 min? That's average rate of descent 3375 fpm! Than levelled off at FL068? What the hell was going on there?,@AirSmolik my thoughts exactly. rate is not unusual but surely crew were aware of where they were &amp; terrain... this'll be interesting.
"#4U9525 took eight minutes to descend from 38,000 feet to impact, says Germanwings CEO Winkelmann.",@RichelleVHP Safety record is not perfect. http://t.co/928i3ln8bl @France24_en @FRANCE24
#4U9525: Robin names Andreas Lubitz as the copilot in the flight deck who crashed the aircraft.,Names of pilots rumored to be Patrick Sonderheimer with co-pilot Andreas Lubitz - No formal confirmation yet. #germanwings
#Banksy's take on #CharlieHebdo. #JeSuisCharlie #NousSommesCharlie http://t.co/f6Y07d9fJ1,Banksy gets it right. “@juliamacfarlane: #Banksy's take on #CharlieHebdo. #JeSuisCharlie #NousSommesCharlie http://t.co/Y51AAQ6DRm”
#Banksy's take on #CharlieHebdo. #JeSuisCharlie #NousSommesCharlie http://t.co/f6Y07d9fJ1,#Banksy's take on #CharlieHebdo. #JeSuisCharlie #NousSommesCharlie http://t.co/f6Y07d9fJ1
#BREAKING - At least five hostages in Paris kosher supermarket: (AFP) https://t.co/4yt6nafpIg #Vincennes http://t.co/Vnyhqye2ps,#BREAKING Gunman in policewoman killing suspected in new Paris hostage-taking: source
#BREAKING - At least five hostages in Paris kosher supermarket: (AFP) https://t.co/4yt6nafpIg #Vincennes http://t.co/Vnyhqye2ps,RT @FRANCE24 #BREAKING - At least five hostages in Paris kosher supermarket: (AFP) https://t.co/ZF6TGUkOdn #Vincennes http://t.co/501nakgVKN
"#BREAKING : 1 dead, several injured in shootout North-East of Paris (French radio @RTLFrance ) http://t.co/LdSF5QeCiv #CharlieHebdo","Siege: “@FRANCE24: #BREAKING : 1 dead, several injured in shootout North-East of Paris (@RTLFrance ) http://t.co/mJ6wGoOcHK #CharlieHebdo”"
"#BREAKING : 1 dead, several injured in shootout North-East of Paris (French radio @RTLFrance ) http://t.co/LdSF5QeCiv #CharlieHebdo","#BREAKING : 1 dead, several injured in shootout North-East of Paris (French radio @RTLFrance ) http://t.co/LdSF5QeCiv #CharlieHebdo"
#BREAKING : Both Charlie Hebdo suspects killed as police storm building (police sources) http://t.co/OYSXRQ9xuv http://t.co/8ICThapo7z,#CharlieHebdo killers shot dead by police
#BREAKING : Both Charlie Hebdo suspects killed as police storm building (police sources) http://t.co/OYSXRQ9xuv http://t.co/8ICThapo7z,@France24_en @slone Great job!!
#BREAKING : Both Charlie Hebdo suspects killed as police storm building (police sources) http://t.co/OYSXRQ9xuv http://t.co/8ICThapo7z,@CzechTV “@France24_en: #BREAKING : Both Charlie Hebdo suspects killed as police storm building (police sources) http://t.co/Oyo6wmpcps http
#BREAKING : Both Charlie Hebdo suspects killed as police storm building (police sources) http://t.co/OYSXRQ9xuv http://t.co/8ICThapo7z,@France24_en: Both Charlie Hebdo suspects killed as police storm building (police sources) http://t.co/wuPIIjroD0 http://t.co/idX9V3plft #FB
#BREAKING : Both Charlie Hebdo suspects killed as police storm building (police sources) http://t.co/OYSXRQ9xuv http://t.co/8ICThapo7z,@France24_en @JulianeMeyerK bad. They should have been captured alive for a proper trial.
#BREAKING Charlie Hebdo gunmen's hostage freed and safe after police assault,#BREAKING : Both Charlie Hebdo suspects killed as police storm building (police sources) http://t.co/OYSXRQ9xuv http://t.co/8ICThapo7z
#BREAKING Charlie Hebdo gunmen's hostage freed and safe after police assault,“@AFP: #BREAKING Charlie Hebdo gunmen's hostage freed and safe after police assault” Thank God
#BREAKING Charlie Hebdo gunmen's hostage freed and safe after police assault,RT @AFP: #BREAKING Charlie Hebdo gunmen's hostage freed and safe after police assault #attack #paris #charliehebdo
#BREAKING Charlie Hebdo gunmen's hostage freed and safe after police assault,#BREAKING Charlie Hebdo gunmen's hostage freed and safe after police assault @AFP #CharlieHebdo #ParisAttacks
#BREAKING Charlie Hebdo gunmen's hostage freed and safe after police assault,BREAKING: Charlie Hebdo gunmen's hostage freed and safe after police assault via @AFP
#BREAKING Gunman in policewoman killing suspected in new Paris hostage-taking: source,@SkyNewsBreak  really sad situation
#BREAKING Gunman in policewoman killing suspected in new Paris hostage-taking: source,Update - AFP says gunman who has taken a hostage at kosher supermarket in Paris believed to be suspect in killing of policewoman on Thursday
#BREAKING Gunman in policewoman killing suspected in new Paris hostage-taking: source,“@AFP: #BREAKING Gunman in policewoman killing suspected in new Paris hostage-taking: source” source please?
"#BREAKING Hostages held inside Sydney cafe, Islamic flag held up",ISIS -holding a Cafe hostage in Sydney- forcing Hostages to press ISIS flags against the Windows #DramaAlert HOT! http://t.co/XwXLvvWc76
"#BREAKING Hostages held inside Sydney cafe, Islamic flag held up","“@AFP: #BREAKING Hostages held inside Sydney cafe, Islamic flag held up” oh god"
"#BREAKING Hostages held inside Sydney cafe, Islamic flag held up","#Australia #ISIS #Terrorism
@AFP: #BREAKING #Hostages held inside #Sydney cafe, Islamic flag held up"
"#BREAKING Hostages held inside Sydney cafe, Islamic flag held up","""@AFP: #BREAKING Hostages held inside Sydney cafe, Islamic flag held up"" &lt;&lt;Terrifying stuff.Nutters&gt;&gt;"
#BREAKING news: Shots fired at Parliament Hill. Follow developing story: http://t.co/gPg9nujRvk http://t.co/H0Hw24j5ma,BREAKING NEWS: Soldier shot at National War Memorial in Ottawa http://t.co/pp6hcfWcRw
#BREAKING news: Shots fired at Parliament Hill. Follow developing story: http://t.co/gPg9nujRvk http://t.co/H0Hw24j5ma,RT @globeandmail: #BREAKING news: Shots fired at Parliament Hill. Follow developing story: http://t.co/izPAUV0qd4 http://t.co/rM0ext7FAF
#BREAKING Paris hostage-taker 'knows' one Charlie Hebdo killer: source,"BREAKING: One person seriously wounded, six taken hostage in incident at kosher supermarket in Paris: police source"
#BREAKING Reports two customers and an employee have escaped the #SydneySiege http://t.co/fSLeobzxHh,We can see people coming out a firedoor near the Lindt cafe to waiting police. 2-3 people. Hard to see. #sydneysiege
#BREAKING Reports two customers and an employee have escaped the #SydneySiege http://t.co/fSLeobzxHh,@dailytelegraph here's to all the hostages getting safe passage on this day! @ChangeTip #SydneySeige
"#BREAKING Rick Hughes at CBC Hamilton: 

The soldier who was shot in Ottawa Wednesday morning is a reservist serving in Hamilton","“@cbcsaltzman: #BREAKING 

The soldier who was shot in Ottawa Wednesday morning is a reservist serving in Hamilton” @tidridge"
#BREAKING: At least two people have died following the #SydneySiege. 5 people are being treated by paramedics.,#BREAKING: Police have confirmed that the #SydneySiege is over. #9News
#BREAKING: At least two people have died following the #SydneySiege. 5 people are being treated by paramedics.,“@AusNewsNetwork: #BREAKING: At least two people have died following the #SydneySiege. 5 people are being treated by paramedics.” nooooo
#BREAKING: At least two people have died following the #SydneySiege. 5 people are being treated by paramedics.,“@AusNewsNetwork: #BREAKING: At least two people have died following the #SydneySiege. 5 people are being treated by paramedics.” NO PLEASE
#BREAKING: Hostages are being held and a siege is taking place at Sydney's Lindt Chocolat Cafe in Martin Place.,Was Vladimir Putin netralized by an internal coup? Or maybe he's vacationing in Harper's closet:  http://t.co/tlr3cFLEyv #LookingForNarnia
#BREAKING: Police have confirmed that the #SydneySiege is over. #9News,"Haron Monis,Hostage-taker in #Sydney: Fled #Iran 96,suspect in ex-wife killing,46 sex assaults http://t.co/3caiB9OnFg http://t.co/vfOXjtrGgZ"
#CharlieHebdo -  11 dead including 2 police in Paris shooting. Photo @MartinBureau1 #AFP http://t.co/aksGP63MB7,“@AFPphoto: #CharlieHebdo -  11 dead including 2 police in Paris shooting. Photo @MartinBureau1 #AFP http://t.co/f2LHfFFvrb”
#CharlieHebdo -  11 dead including 2 police in Paris shooting. Photo @MartinBureau1 #AFP http://t.co/aksGP63MB7,Et merde. “@AFPphoto: #CharlieHebdo -  11 dead including 2 police in Paris shooting. Photo @MartinBureau1 #AFP http://t.co/MFpQhJPBfz”
#CharlieHebdo -  11 dead including 2 police in Paris shooting. Photo @MartinBureau1 #AFP http://t.co/aksGP63MB7,“@AFPphoto: #CharlieHebdo -  11 dead including 2 police in Paris shooting. Photo @MartinBureau1 #AFP http://t.co/rYQSyWmQi5” #tragedy
#CharlieHebdo -  11 dead including 2 police in Paris shooting. Photo @MartinBureau1 #AFP http://t.co/aksGP63MB7,#CharlieHebdo -  11 dead including 2 police in Paris shooting. Photo @MartinBureau1 #AFP http://t.co/aksGP63MB7
#CharlieHebdo killers shot dead by police,"Hostage-taker at Paris store demands release of #KouachiBrothers, police union spokesman says. http://t.co/cTAJWVBmAO http://t.co/rYEGVIPAlU"
#CharlieHebdo killers shot dead by police,"@KayBurley best news I have heard, Kay you are doing an amazing job thank you"
#CharlieHebdo killers shot dead by police,@KayBurley you the fastest for breaking news...
#CharlieHebdo shooting suspects tell police they 'prepared to die as martyrs' - French media http://t.co/G6eunBDIrj http://t.co/jOnfaapehF,"#CharlieHebdo suspects ""prepared to die as martyrs"", they tell police after making contact - French media http://t.co/Qgmn70TXSU"
#CharlieHebdo shooting suspects tell police they 'prepared to die as martyrs' - French media http://t.co/G6eunBDIrj http://t.co/jOnfaapehF,"@rt_com: #CharlieHebdo attack suspects tell police,""prepared to die as martyrs""—French media http://t.co/R8Bktsnebv http://t.co/mG06dgBtuQ"
#CharlieHebdo shooting suspects tell police they 'prepared to die as martyrs' - French media http://t.co/G6eunBDIrj http://t.co/jOnfaapehF,ERTE @RT_com #CharlieHebdo shooting suspects tell police they 'prepared to die as martyrs' - http://t.co/CyehnPMHWU  http://t.co/pGKXRC0inx
"#CHARLIEHEBDO SHOOTING: Gunmen shouted 'we have avenged the prophet"" during attack - reports http://t.co/3Jsosc7yl3 http://t.co/nAerF1Ep7A",@RT_com sounds like a sketch from family guy
"#CHARLIEHEBDO SHOOTING: Gunmen shouted 'we have avenged the prophet"" during attack - reports http://t.co/3Jsosc7yl3 http://t.co/nAerF1Ep7A",@RT_com sure they did
"#CHARLIEHEBDO SHOOTING: Gunmen shouted 'we have avenged the prophet"" during attack - reports http://t.co/3Jsosc7yl3 http://t.co/nAerF1Ep7A","@RT_com 
     ISLAMIC SCHOLARS SHOULD COME FORWARD TO END 'JIHAD' !
       IT IS INHUMAN &amp; WOULD DESTROY THE CREDIBILITY OF ISLAM !"
